"","NAME","over65pct","pplpovpct","hsepovpct","whitepct","blkafrpct","asianpct","hislatpct","medIncome","medAge","population"
"1","Alabama",0.165061471417585,0.167425490420437,0.166685672037959,0.697742322481415,0.275001486798257,0.0177369905152525,0.0427841066393232,26231,39,4876250
"2","Alaska",0.112042579517765,0.106944073752808,0.0938203089845508,0.719831820130571,0.0487539819935203,0.0829340033755366,0.0703734255184054,34018,34.3,737068
"3","Arizona",0.171162669838542,0.151462788033011,0.136410906992192,0.804370850087351,0.0574821011137258,0.0440728825827103,0.313272245616817,30216,37.7,7050299
"4","Arkansas",0.16629425512691,0.170480193091337,0.166954357720727,0.791641911468075,0.163098250632633,0.0193023868345686,0.074725692395403,25758,38.1,2999370
"5","California",0.139652561990599,0.133634832078513,0.125169710583945,0.637645421434858,0.0704234146975255,0.166780773106834,0.39018135274464,31960,36.5,39283497
"6","Colorado",0.137906928784644,0.103089686476899,0.101567989487174,0.87276370863916,0.0534841950117542,0.0434119160857907,0.215347030995754,35887,36.7,5610349
"7","Connecticut",0.168123233253354,0.0991750350927801,0.100419771423736,0.786220089430317,0.125153213611802,0.0535667233741176,0.160623248637651,37865,41,3575074
"8","Delaware",0.181952848164739,0.117537850625937,0.111509900308817,0.710781323126295,0.239990054823828,0.0453362138129304,0.0923104566423748,33628,40.6,957248
"9","District of Columbia",0.120791184423466,0.16241306338263,0.145974133747793,0.436274601801979,0.479444421185448,0.0529231986348734,0.109994037676686,49542,34,692683
"10","Florida",0.201200901211752,0.140151930165207,0.133061739632753,0.774541667456079,0.17481244051901,0.0351589703313176,0.255802177398937,27936,42,20901636
"11","Georgia",0.13518893540053,0.150889185796916,0.142402970311254,0.607022863754148,0.33031339272867,0.0469972309281365,0.095387215901964,29958,36.7,10403847
"12","Hawaii",0.17833279656619,0.0943870179109136,0.0980488611826983,0.429724054809316,0.0355764105607646,0.564344551063432,0.104858047358332,35515,39.1,1422094
"13","Idaho",0.154206956774851,0.131209137245483,0.129163439194423,0.927431814874109,0.0119068548973948,0.0237199825352933,0.125440838305923,27243,36.4,1717750
"14","Illinois",0.152109476814419,0.124881180859846,0.123119583569088,0.737561753996337,0.153109818927506,0.0632731460176087,0.171204304626764,32495,38.1,12770631
"15","Indiana",0.153560397155409,0.134335821601207,0.128156926944595,0.856446649363165,0.108087023979316,0.0279395886675419,0.069287515510367,30005,37.7,6665703
"16","Iowa",0.167389922242593,0.114506885109585,0.113811199448744,0.919886173247528,0.0477708609119646,0.0294836006151282,0.0599810543562877,31707,38.2,3139508
"17","Kansas",0.154373315669479,0.119508955236556,0.11954018102649,0.875586981885845,0.0738250398879701,0.0363994046694692,0.118763768392786,31017,36.7,2910652
"18","Kentucky",0.159615576531809,0.173340254474938,0.169766484609292,0.890443177557826,0.0939548470101046,0.0188204138769338,0.0366356698011172,26653,38.9,4449052
"19","Louisiana",0.149649191036202,0.192261633979113,0.188197507670321,0.637947697884512,0.333610684590947,0.0210144495645921,0.051274750973445,26295,36.9,4664362
